名称,市場,33業種区分,17業種区分,売上高(百万円),営業利益(百万円),経常利益(百万円),当期利益(百万円),総資産(百万円),自己資本(百万円),資本金(百万円),有利子負債(百万円),時価総額(百万円),自己資本比率,ROE,ROA,発行済株式数
ベルーナ,東証1部,小売業,小売 ,146083,10882,12188,5802,179024,84874,10607,52081,109002,47.4,7.03,3.41,97236456
ケーヨー,東証1部,小売業,小売 ,146896,1334,2210,1215,91453,41735,16505,25252,51005,45.6,3.26,1.36,65140184
八千代工業,東証JQS,輸送用機器,自動車・輸送機 ,147360,10011,10160,4743,130943,55475,3686,20604,31905,42.4,8.85,3.81,24042700
中電工,東証1部,建設業,建設・資材 ,147935,9675,11871,9273,263618,214847,3481,697,178193,81.5,4.33,3.54,58138117
シダックス,東証JQS,サービス業,情報通信・サービスその他 ,148433,1269,-2966,-3220,67223,7403,10781,34270,17922,11,-34.17,-4.55,40918762
ヨコレイ,東証1部,卸売業,商社・卸売 ,148609,5169,5342,2932,143554,62038,11068,63927,58297,43.2,4.75,2.23,53434112
サーラコーポレーション,東証1部,小売業,小売 ,148953,2595,3059,7926,171323,44546,8025,65869,58711,26,21.39,5.97,66041147
SBSホールディングス,東証1部,陸運業,運輸・物流 ,149054,7514,7842,5118,122397,32568,3920,56572,31219,26.6,16.88,4.14,39718200
日産東京販売ホールディングス,東証1部,小売業,小売 ,149525,5029,4475,3990,84293,36512,13752,1496,26854,43.3,11.7,5,66635063
古河機械金属,東証1部,非鉄金属,鉄鋼・非鉄 ,149829,6545,7202,4254,208034,77659,28208,73506,78869,37.3,5.9,2.11,404455680
CBグループマネジメント,東証JQS,卸売業,商社・卸売 ,150072,1753,1775,1150,48057,17178,1608,8835,9158,35.7,6.96,2.45,12309244
ホシデン,東証1部,電気機器,電機・精密 ,150082,2373,1804,2053,119045,76661,13660,5769,123571,64.4,2.69,1.82,67710084
三洋化成工業,東証1部,化学,素材・化学 ,150166,13647,15341,10192,186863,121604,13051,15204,149916,65.1,8.73,5.63,23534752
西華産業,東証1部,卸売業,商社・卸売 ,150742,3046,3390,2140,118254,28204,6728,8672,38903,23.9,7.88,2.06,65603252
大紀アルミニウム工業所,東証1部,非鉄金属,鉄鋼・非鉄 ,150809,4730,4684,3136,76790,26529,6346,36171,35689,34.5,12.43,4.27,43629235
サカタインクス,東証1部,化学,素材・化学 ,151198,10119,11868,7837,138012,71361,7472,16358,127832,51.7,11.33,5.71,62601161
アイカ工業,東証1部,化学,素材・化学 ,151633,18099,18374,11064,164634,114900,9891,1846,249072,69.8,9.93,6.96,67590664
トーモク,東証1部,パルプ・紙,素材・化学 ,152153,7299,7865,4521,136532,54245,13669,45199,37909,39.7,8.45,3.27,96707842
東洋建設,東証1部,建設業,建設・資材 ,152587,7123,6326,4303,138021,41293,14049,16314,45959,29.9,10.81,3.2,94371183
ぴあ,東証1部,サービス業,情報通信・サービスその他 ,152812,1789,1679,974,42776,7909,4621,140,73763,18.5,12.58,2.47,14549013
キユーソー流通システム,東証1部,倉庫・運輸関連業,運輸・物流 ,153034,4841,5050,2584,75380,31025,4063,14817,38477,41.2,8.54,3.62,12677900
井関農機,東証1部,機械,機械 ,153097,2469,1635,858,203356,65431,23344,61380,56129,32.2,1.3,0.42,22984993
牧野フライス製作所,東証1部,機械,機械 ,153641,9660,10000,7596,247606,126440,19263,54800,115746,51.1,6.25,3.15,119944543
ユーシン,東証1部,電気機器,電機・精密 ,153894,3269,2271,-9659,143295,20643,13062,60925,24466,14.4,-34.27,-6.51,30430115
第一実業,東証1部,卸売業,商社・卸売 ,154120,5844,6166,3338,116681,38686,5105,9241,34091,33.2,8.95,3.16,55432000
淀川製鋼所,東証1部,鉄鋼,鉄鋼・非鉄 ,154221,13168,13763,6734,209977,143242,23220,669,110558,68.2,4.8,3.24,35837230
ロート製薬,東証1部,医薬品,医薬品 ,154599,15451,15964,10011,181543,117442,6415,5118,310172,64.7,8.79,5.54,117936284
ジューテックホールディングス,東証1部,卸売業,商社・卸売 ,154938,1183,1769,1047,63022,11980,850,4150,15216,19,9.22,1.68,11971350
昭和電線ホールディングス,東証1部,非鉄金属,鉄鋼・非鉄 ,155232,4234,2446,1976,119528,28151,24221,49808,32368,23.6,7.38,1.63,308268611
大黒天物産,東証1部,小売業,小売 ,155379,5853,5921,3553,56535,30497,1640,6246,76084,53.9,12.32,6.65,14464700
ダイキョーニシカワ,東証1部,化学,素材・化学 ,155643,14376,13865,10096,120409,55086,5426,11902,128432,45.7,18.74,8.28,73896400
アドバンテスト,東証1部,電気機器,電機・精密 ,155916,13905,15022,14201,231603,109517,32363,44745,422483,47.3,13.98,6.43,199566770
トーメンデバイス,東証1部,卸売業,商社・卸売 ,156677,1252,1690,1230,70519,26346,2054,13108,18134,37.4,4.75,1.93,6802000
タマホーム,東証1部,建設業,建設・資材 ,157001,3901,3475,901,83350,13920,4310,31317,21550,16.7,6.62,1.08,30055800
ユタカ技研,東証JQS,輸送用機器,自動車・輸送機 ,157176,12096,11336,5455,154906,73850,1754,22194,37302,47.7,7.6,3.63,14820000
大日精化工業,東証1部,化学,素材・化学 ,157185,11982,12204,9950,188248,86356,10039,44419,101814,45.9,12.45,5.5,93065554
エフ・シー・シー,東証1部,輸送用機器,自動車・輸送機 ,157217,11236,11419,7204,162708,111625,4175,17306,131821,68.6,6.59,4.48,52644030
インターネットイニシアティブ,東証1部,情報・通信業,情報通信・サービスその他 ,157789,5134,5427,3166,137395,66742,25509,32952,99500,48.6,4.81,2.48,46713800
サンケン電気,東証1部,電気機器,電機・精密 ,158772,5930,5026,1739,182700,54401,20896,90651,73035,29.8,3.22,0.95,125490302
日本化薬,東証1部,化学,素材・化学 ,159117,19646,19947,15635,272791,194063,14932,14507,331426,71.1,8.16,5.73,182503570
TSIホールディングス,東証1部,繊維製品,素材・化学 ,159143,2541,3964,3679,156199,113312,15000,9951,95637,72.5,3.21,2.28,115783293
ジョイフル本田,東証1部,小売業,小売 ,159544,7395,8021,6130,199413,157536,12000,15807,151174,79,3.93,3.21,51612880
立花エレテック,東証1部,卸売業,商社・卸売 ,160218,5172,5341,3893,104070,59593,5874,1666,44737,57.3,6.78,3.84,26025242
フォスター電機,東証1部,電気機器,電機・精密 ,160896,2963,3017,1088,102409,59592,6770,13375,62722,58.2,1.78,1.08,26931051
エイベックス・グループ・ホールディングス,東証1部,情報・通信業,情報通信・サービスその他 ,161592,5728,4479,118,118399,48050,4229,18500,65431,40.6,0.24,0.1,45062600
クラボウ,東証1部,繊維製品,素材・化学 ,161804,6160,6579,3588,181529,92962,22040,22395,71181,51.2,4.03,1.98,242939284
ダスキン,東証1部,サービス業,情報通信・サービスその他 ,161880,6069,7554,4318,190116,141724,11352,88,171104,74.5,3.04,2.27,55194823
メディアスホールディングス,東証1部,卸売業,商社・卸売 ,162654,1004,1520,863,47452,9799,1285,3690,16970,20.7,9.04,1.81,6484512
オークマ,東証1部,機械,機械 ,162679,15560,15961,10241,211117,139507,18000,12395,190042,66.1,7.61,4.95,168775770
松田産業,東証1部,卸売業,商社・卸売 ,163054,2960,3459,2454,72715,53390,3559,4585,47179,73.4,4.67,3.44,28908581
東プレ,東証1部,金属製品,建設・資材 ,163368,20431,19678,13655,193127,118581,5610,7997,180703,61.4,12.12,7.47,54021824
日医工,東証1部,医薬品,医薬品 ,163372,8554,8411,4788,270890,87346,19976,110337,102823,32.2,5.64,2.22,60662652
富士ソフト,東証1部,情報・通信業,情報通信・サービスその他 ,164218,8798,9166,5042,163863,96603,26200,16133,110199,59,5.32,3.17,33700000
鉄建建設,東証1部,建設業,建設・資材 ,165053,6107,6148,3998,183730,48812,18293,41909,56095,26.6,8.52,2.18,156689563
住友倉庫,東証1部,倉庫・運輸関連業,運輸・物流 ,165256,9189,11327,7802,305751,171060,21822,72360,134468,55.9,4.69,2.57,180736231
日本光電,東証1部,電気機器,電機・精密 ,166285,13585,14053,9149,152806,103887,7544,628,224327,68,9.08,6.16,89730980
日信工業,東証1部,輸送用機器,自動車・輸送機 ,166889,12278,12880,5385,216005,148374,3694,5368,131166,68.7,3.66,2.42,65452143
東亜建設工業,東証1部,建設業,建設・資材 ,167200,6196,5897,-7438,183735,64426,18976,29195,47531,35.1,-11.01,-3.91,22494629
やまや,東証1部,小売業,小売 ,167334,5255,5248,1752,67852,26631,3247,14740,17704,39.2,6.76,2.55,10847870
フジテック,東証1部,機械,機械 ,167442,12687,13110,8564,173007,92564,12533,5280,147590,53.5,9.45,4.97,93767317
三信電気,東証1部,卸売業,商社・卸売 ,167654,804,-952,-1575,94144,61537,14811,13124,48578,65.4,-2.52,-1.66,29281373
タカラトミー,東証1部,その他製品,情報通信・サービスその他 ,167661,7744,7823,5372,157693,51064,3459,64747,139333,32.4,12.18,3.54,96290850
ヨロズ,東証1部,輸送用機器,自動車・輸送機 ,167723,6327,6265,3980,167171,78448,6200,35722,57327,46.9,5.04,2.5,25055636
西部ガス,東証1部,電気・ガス業,電力・ガス ,168083,9624,9275,3445,351542,69619,20629,236506,101894,19.8,5.08,0.99,371875676
アース製薬,東証1部,化学,素材・化学 ,168505,5549,5991,3364,107366,43520,3377,15502,103626,40.5,7.74,3.18,20200000
三機工業,東証1部,建設業,建設・資材 ,168512,6012,6880,4698,166612,85816,8105,5654,79258,51.5,5.52,2.8,63661156
大建工業,東証1部,その他製品,情報通信・サービスその他 ,168848,8515,9021,5116,132171,46614,13150,26153,69080,35.3,11.71,3.9,25175043
VTホールディングス,東証1部,小売業,小売 ,169560,7592,7937,4421,121493,34983,4297,28989,76284,28.8,13.06,4.08,119381034
堀場製作所,東証1部,電気機器,電機・精密 ,170093,18499,18279,12962,239657,132654,12011,46718,275187,55.4,9.89,5.51,42532752
中部飼料,東証1部,食料品,食品 ,171054,4778,4991,3423,74218,46895,4736,7047,61868,63.2,7.61,4.57,30371908
ダイドーグループホールディングス,東証1部,食料品,食品 ,171401,3857,3741,3269,163870,84082,1924,32128,89470,51.3,3.91,2,16568500
日立国際電気,東証1部,電気機器,電機・精密 ,171857,10265,10481,7459,204656,100416,10058,2281,312928,49.1,7.6,3.93,105221259
日本電設工業,東証1部,建設業,建設・資材 ,172165,13811,14723,9126,227751,135719,8494,400,139320,59.6,6.94,4.09,61537219
マックスバリュ九州,東証JQS,小売業,小売 ,172410,2619,2647,1117,36102,12901,1590,1640,15700,35.7,8.98,3.13,7548295
福田組,東証1部,建設業,建設・資材 ,172749,9695,9888,8482,120295,54288,5158,3099,54648,45.1,16.83,7.33,8988111
ウシオ電機,東証1部,電気機器,電機・精密 ,172840,8602,11001,7042,308430,212646,19556,27771,210141,68.9,3.34,2.34,139628721
エフピコ,東証1部,化学,素材・化学 ,172858,15176,15742,10953,219481,99362,13150,71289,248434,45.3,11.5,5.11,44284212
日油,東証1部,化学,素材・化学 ,174057,24336,25001,17586,217127,151763,17742,9514,282582,69.9,12.27,8.51,173682752
TPR,東証1部,機械,機械 ,175398,20514,23313,12281,208932,89483,4683,38076,129484,42.8,14.53,6.06,36068099
小野建,東証1部,卸売業,商社・卸売 ,176360,5392,5630,3818,130525,59813,3780,28579,40429,45.8,6.55,2.95,21244830
マックスバリュ中部,名証2部,小売業,小売 ,177396,4084,4150,2034,49160,17744,3950,3276,40366,36.1,11.95,4.19,31734623
丸善CHIホールディングス,東証1部,小売業,小売 ,178405,2032,2013,539,131993,34217,3000,49209,32579,25.9,1.58,0.4,92554085
TOKAIホールディングス,東証1部,卸売業,商社・卸売 ,178631,12750,12775,7337,161112,55655,14000,54136,118309,34.5,15.17,4.57,139679977
ニッコンホールディングス,東証1部,陸運業,運輸・物流 ,179312,18130,19574,13468,280079,170910,11316,53554,182201,61,8.16,5.04,68239892
タダノ,東証1部,機械,機械 ,179676,18484,18490,11881,229799,142065,13021,36685,172883,61.8,8.6,5.11,129500355
佐藤商事,東証1部,卸売業,商社・卸売 ,179947,3597,3879,2591,107337,39915,1321,18681,24611,37.2,6.83,2.48,21799050
沖縄電力,東証1部,電気・ガス業,電力・ガス ,179997,9126,7521,5517,400237,152317,7586,179757,106439,38.1,3.69,1.36,43373688
J-オイルミルズ,東証1部,食料品,食品 ,180225,5468,5832,3258,164925,83496,10000,33990,67771,50.6,3.99,2.05,16754223
サンエー,東証1部,小売業,小売 ,180243,15006,15411,9785,130427,100888,3723,125,159908,77.4,10.13,7.76,31981654
日産化学工業,東証1部,化学,素材・化学 ,180289,31438,31713,24026,231748,162041,18942,30805,616080,69.9,15.14,10.45,151000000
ニチアス,東証1部,ガラス・土石製品,建設・資材 ,180363,19600,19756,13409,175999,97367,12128,23023,180380,55.3,14.72,8.1,135623834
武蔵精密工業,東証1部,輸送用機器,自動車・輸送機 ,180522,11166,10323,6315,248482,71582,2973,112658,105683,28.8,9.13,3.13,31221100
スターツコーポレーション,東証1部,不動産業,不動産 ,180807,20178,20202,13646,192814,70796,11039,62458,153085,36.7,20.76,7.31,53998205
エイチワン,東証1部,金属製品,建設・資材 ,182737,7760,7549,6057,174612,54904,4366,59912,31942,31.4,11.57,3.48,28392830
LIXILビバ,東証1部,小売業,小売 ,182948,10632,9939,6545,159902,44959,20000,37900,86667,28.1,15.13,4.2,44720000
タカラスタンダード,東証1部,その他製品,情報通信・サービスその他 ,183114,12285,12677,8715,234647,150417,26356,9300,145730,64.1,5.94,3.8,73937194
ネクソン,東証1部,情報・通信業,情報通信・サービスその他 ,183128,40661,47123,20133,441832,372924,3519,2518,1293023,84.4,5.39,4.64,439355414
D．A．コンソーシアムホールディングス,東証2部,サービス業,情報通信・サービスその他 ,184779,6928,3728,209,55768,17758,4000,5813,135600,31.8,1.18,0.37,71481422
平和,東証1部,機械,機械 ,186218,36599,35655,27058,449152,217381,16755,132917,215288,48.4,13,6.01,99809060
プレス工業,東証1部,輸送用機器,自動車・輸送機 ,186629,8639,8101,5263,160293,76731,8070,29301,71597,47.9,7.07,3.31,114007210
吉野家ホールディングス,東証1部,小売業,小売 ,188623,1865,2750,1248,114947,56745,10265,31487,122639,49.4,2.18,1.1,65129558
NTT都市開発,東証1部,不動産業,不動産 ,188633,31393,28710,16682,1005898,212672,48760,522080,355120,21.1,7.97,1.64,329120000
ミズノ,東証1部,その他製品,情報通信・サービスその他 ,188718,1444,1529,710,155895,88210,26137,26344,86512,56.6,0.8,0.44,132891217
クスリのアオキホールディングス,東証1部,小売業,小売 ,188744,10676,11110,8181,95389,35771,1030,17235,214290,37.5,22.87,8.58,31466960
マルイチ産商,名証2部,小売業,小売 ,188881,1634,2009,1192,43798,20076,3719,1500,28300,45.8,6.11,2.76,23121000
スカパーJSATホールディングス,東証1部,情報・通信業,情報通信・サービスその他 ,192875,24433,24875,17415,359484,210619,10000,82753,174369,58.6,8.55,5.13,344603700
ベルク,東証1部,小売業,小売 ,193566,9164,9562,6211,99130,52872,3912,17989,118946,53.3,12.34,6.43,20867800
AOKIホールディングス,東証1部,小売業,小売 ,194046,14447,13895,7355,234681,143819,23282,41275,129810,61.3,5.13,3.16,90649504
パーク24,東証1部,不動産業,不動産 ,194398,21453,21164,13963,152939,72905,9366,37051,398499,47.7,20.2,9.36,146668635
クラリオン,東証1部,電気機器,電機・精密 ,194841,11367,10992,7727,129413,43710,20346,30795,123842,33.8,18.99,5.93,282744185
ワコールホールディングス,東証1部,繊維製品,素材・化学 ,195881,11065,16569,12525,294958,227568,13260,7951,232559,77.2,5.54,4.26,143378085
ミニストップ,東証1部,小売業,小売 ,196955,1241,2284,215,121395,57099,7491,3544,64209,47,0.37,0.18,29372774
トーエネック,東証1部,建設業,建設・資材 ,197842,7716,7906,5170,208923,88110,7680,10450,62533,42.2,6.05,2.54,96649954
エフテック,東証1部,輸送用機器,自動車・輸送機 ,197941,8035,7214,4035,144420,33655,5615,57136,30477,23.3,12.82,2.86,16885009
住友ベークライト,東証1部,化学,素材・化学 ,198199,16879,17324,10622,263742,165354,37143,43132,207040,62.7,6.58,4.06,247952394
椿本チエイン,東証1部,機械,機械 ,198762,21647,22004,14596,267215,152474,17076,34633,171501,57.1,9.91,5.6,191406969
参天製薬,東証1部,医薬品,医薬品 ,199096,32479,31822,23061,322778,253065,7792,16963,732374,78.4,8.99,6.8,406197515
森永製菓,東証1部,食料品,食品 ,199479,17612,18325,11115,185032,89162,18612,26282,352233,48.2,13.58,6.35,54189769
大気社,東証1部,建設業,建設・資材 ,200604,8473,9842,6305,199024,95753,6455,5001,107072,48.1,6.75,3.25,36782009
中央魚類,東証2部,卸売業,商社・卸売 ,201056,982,1255,471,66473,21541,2995,25379,12169,32.4,2.24,0.75,43153000
新明和工業,東証1部,輸送用機器,自動車・輸送機 ,201204,13067,13244,8954,188632,118269,15981,150,102900,62.7,7.74,4.77,100000000
日新,東証1部,倉庫・運輸関連業,運輸・物流 ,201209,5607,6266,4457,112413,52871,6097,26871,60514,47,8.75,4.04,101363846
アルコニックス,東証1部,卸売業,商社・卸売 ,201948,4168,4352,3083,113647,32380,2924,38089,47228,28.5,9.92,2.74,25821600
三菱製紙,東証1部,パルプ・紙,素材・化学 ,201955,4313,2703,1152,235869,54384,32756,125834,25591,23.1,2.22,0.48,34258433
カゴメ,東証1部,食料品,食品 ,202534,10946,11315,6764,219804,92433,19985,74469,344675,42.1,6.38,3.16,99616944
エレマテック,東証1部,卸売業,商社・卸売 ,203004,5406,5314,1342,93284,44545,2142,2884,44082,47.8,3.02,1.54,21152473
奥村組,東証1部,建設業,建設・資材 ,203090,11678,13455,13614,289474,152958,19838,14245,188826,52.8,9.19,4.9,228326133
イオン北海道,東証1部,小売業,小売 ,203173,8258,8267,4183,98529,37266,6100,20049,66170,37.8,11.73,4.13,106211086
アダストリア,東証1部,小売業,小売 ,203686,14916,15126,11575,90389,56035,2660,2027,117901,62,21.18,12.8,48800000
愛三工業,東証1部,輸送用機器,自動車・輸送機 ,203769,8159,7407,4505,178914,81472,10518,23751,63731,45.5,5.53,2.48,62727296
オートバックスセブン,東証1部,卸売業,商社・卸売 ,204033,5829,7120,3015,176708,127078,33998,6648,158603,71.9,2.33,1.69,84050105
みらかホールディングス,東証1部,サービス業,情報通信・サービスその他 ,204245,28057,26385,333,213926,147839,8962,6298,292324,69.1,0.22,0.15,57318439
日本空港ビルデング,東証1部,不動産業,不動産 ,204953,9497,12843,6886,213026,122812,17489,53258,320166,57.7,5.77,3.16,84476500
リログループ,東証1部,サービス業,情報通信・サービスその他 ,205117,13264,14238,9151,99347,39313,2667,21598,392779,39.6,25.28,10.01,152951200
ミツウロコグループホールディングス,東証1部,卸売業,商社・卸売 ,205682,3894,4743,2698,131537,74132,7077,21248,58871,56.4,3.69,2.08,68137308
カドカワ,東証1部,情報・通信業,情報通信・サービスその他 ,205717,8419,7407,5767,246949,109908,20625,67580,95279,44.5,5.4,2.57,70892060
リンテック,東証1部,その他製品,情報通信・サービスその他 ,205975,16595,15684,11450,274199,177885,23201,21487,235818,64.9,6.56,4.45,76564240
ジーテクト,東証1部,金属製品,建設・資材 ,206072,14402,14430,9706,208584,107415,4656,46838,97571,51.5,9.2,4.58,43931260
石油資源開発,東証1部,鉱業,エネルギー資源 ,207130,685,2222,3443,746739,437518,14288,141903,126312,58.6,0.8,0.47,57154776
フィード・ワン,東証1部,食料品,食品 ,207920,4831,5131,3937,79904,30582,10000,18124,50925,38.3,13.68,4.84,197385640
トピー工業,東証1部,輸送用機器,自動車・輸送機 ,208237,7180,6116,7191,223050,103951,20983,55830,90050,46.6,7.09,3.16,24077510
三菱倉庫,東証1部,倉庫・運輸関連業,運輸・物流 ,208718,12748,16056,10665,435354,274224,22393,65599,245586,63,4.03,2.51,175921478
日本航空電子工業,東証1部,電気機器,電機・精密 ,209510,12059,9154,6736,183196,108896,10690,19569,168268,59.4,6.31,3.86,92302608
トーホー,東証1部,卸売業,商社・卸売 ,209834,2877,2894,1208,77454,24748,5344,20736,29402,32,4.95,1.55,11012166
SUMCO,東証1部,金属製品,建設・資材 ,211361,14046,9919,6588,493243,209829,138718,172484,500932,42.5,3.13,1.34,293285539
不二越,東証1部,機械,機械 ,211449,11139,7765,3929,269438,98071,16074,82487,156493,36.4,3.92,1.46,249193436
ノーリツ,東証1部,金属製品,建設・資材 ,211872,8940,9343,4654,201041,107344,20167,800,99817,53.4,4.29,2.34,50797651
日本製鋼所,東証1部,機械,機械 ,212469,12340,12111,-4968,275315,106300,19694,51024,194275,38.6,-4.59,-1.75,74292607
シークス,東証1部,卸売業,商社・卸売 ,212768,9134,9146,6698,109695,51332,2144,17171,119070,46.8,13.27,6.1,25200000
愛知製鋼,東証1部,鉄鋼,鉄鋼・非鉄 ,212837,7218,6863,5084,273107,143025,25016,54597,88098,52.4,3.6,1.94,19886675
オリエントコーポレーション,東証1部,その他金融業,金融（除く銀行） ,213693,33515,33515,28690,5329058,303791,150028,1071821,314457,5.7,9.93,0.55,1718346703
わらべや日洋ホールディングス,東証1部,食料品,食品 ,214305,4099,4304,2281,83877,43176,8049,4373,49405,51.5,5.39,2.83,17625660
NECキャピタルソリューション,東証1部,その他金融業,金融（除く銀行） ,215718,6024,6537,3517,860482,79152,3776,688617,45134,9.2,4.53,0.42,21533400
ヒューリック,東証1部,不動産業,不動産 ,215780,53377,51432,34897,1133994,336903,62695,665375,694889,29.7,10.74,3.14,663062271
リョーサン,東証1部,卸売業,商社・卸売 ,218003,4659,4833,3367,161620,109519,17690,11419,134378,67.8,2.99,2.11,28500000
シナネンホールディングス,東証1部,卸売業,商社・卸売 ,218242,2934,3424,2584,104836,50672,15630,17986,34483,48.3,5.23,2.61,15150591
ポーラ・オルビスホールディングス,東証1部,化学,素材・化学 ,218482,26909,27191,17447,228845,185419,10000,1600,803122,81,9.54,7.51,229136156
菱電商事,東証1部,卸売業,商社・卸売 ,219225,2730,2442,1388,122763,60912,10334,761,36748,49.6,2.29,1.15,45649955
アルペン,東証1部,小売業,小売 ,220039,4134,6207,2741,198090,104792,15163,27000,89155,52.9,2.64,1.38,40488000
明電舎,東証1部,電気機器,電機・精密 ,220141,8849,8209,5743,247646,73237,17070,45365,91738,29.6,8.16,2.28,227637704
南海電気鉄道,東証1部,陸運業,運輸・物流 ,221690,31840,27111,16452,890798,209240,72983,478197,318661,23.5,8.15,1.84,567012232
大木ヘルスケアホールディングス,東証JQS,卸売業,商社・卸売 ,222342,1298,2208,759,84751,13775,2486,8538,9133,16.3,5.8,0.91,14072100
河西工業,東証1部,輸送用機器,自動車・輸送機 ,222537,15888,15649,9017,136655,53604,5821,24000,66854,39.2,17.82,6.68,39511728
グローリー,東証1部,機械,機械 ,222581,20365,17205,10382,312821,187949,12892,47716,273180,60.1,5.42,3.27,68638210
ゼビオホールディングス,東証1部,小売業,小売 ,223353,7428,7499,2991,188744,116345,15935,190,101092,61.6,2.58,1.62,47911023
ADEKA,東証1部,化学,素材・化学 ,223440,21041,21846,15325,290485,180077,22899,29790,202950,62,8.93,5.47,103651442
日本調剤,東証1部,小売業,小売 ,223468,8519,7976,4638,178347,36447,3953,84089,58087,20.4,13.46,2.76,16024000
マックスバリュ東海,東証2部,小売業,小売 ,224682,5426,5392,3198,70353,45780,2267,17,37680,65.1,7.18,4.58,17883300
三井倉庫ホールディングス,東証1部,倉庫・運輸関連業,運輸・物流 ,225503,5823,3668,-23427,267677,37710,11100,168877,42301,14.1,-47.14,-8.46,124415013
ユアテック,東証1部,建設業,建設・資材 ,226042,14559,15121,10118,190390,109574,7803,8868,65386,57.6,9.67,5.35,81224462
コジマ,東証1部,小売業,小売 ,226297,2010,1643,565,104403,36512,25975,36515,30074,35,1.55,0.54,77912716
日本マクドナルドホールディングス,東証JQS,小売業,小売 ,226646,6930,6614,5366,180499,110000,24113,23125,660146,60.9,4.91,2.99,132960000
加賀電子,東証1部,卸売業,商社・卸売 ,227209,6879,7343,6975,125751,65873,12133,9486,91560,52.4,10.93,5.58,28702118
セントラル硝子,東証1部,化学,素材・化学 ,228898,12982,15091,10703,314974,170021,18168,73472,108729,54,6.54,3.6,214879975
アクシアル リテイリング,東証1部,小売業,小売 ,228899,9053,9185,5784,95634,49790,3159,6165,105714,52.1,12.17,6.13,23388039
黒田電気,東証1部,卸売業,商社・卸売 ,229571,7088,6953,4844,117525,75239,10045,894,78458,64,6.49,4.17,39446162
コナミホールディングス,東証1部,情報・通信業,情報通信・サービスその他 ,229922,36359,35521,25951,337144,234441,47399,30285,807905,69.5,11.61,7.8,143500000
三井海洋開発,東証1部,機械,機械 ,229987,18018,29409,21012,333249,123049,30122,50290,142487,36.9,18.71,6.11,56408000
太陽誘電,東証1部,電気機器,電機・精密 ,230716,12385,11200,5428,271149,153882,23557,51646,209879,56.8,3.54,2.01,120481395
ナフコ,東証JQS,小売業,小売 ,231040,8733,9170,4358,224327,134202,3538,30204,52182,59.8,3.29,1.93,29784400
アルバック,東証1部,電気機器,電機・精密 ,231831,29468,29716,24469,245306,98688,20873,42727,329204,40.2,28.52,10.53,49355938
丸大食品,東証1部,食料品,食品 ,232436,4710,5378,3284,129339,75852,6716,9167,72228,58.6,4.44,2.59,132527909
昭和産業,東証1部,食料品,食品 ,233206,8786,9514,6167,164959,73188,12778,32571,102207,44.4,8.68,3.82,164849898
東宝,東証1部,情報・通信業,情報通信・サービスその他 ,233548,50223,51562,33252,417526,310508,10355,305,742733,74.4,11.17,8.21,188990633
住友大阪セメント,東証1部,ガラス・土石製品,建設・資材 ,234062,21530,22627,16210,336790,194207,41654,64216,208716,57.7,8.77,4.89,417432175
宝ホールディングス,東証1部,食料品,食品 ,234193,13551,14344,8480,274368,135043,13226,40202,231633,49.2,6.39,3.21,217699743
コロワイド,東証1部,小売業,小売 ,234444,4112,2212,-1398,233252,34304,14030,113030,158548,14.7,-4.01,-0.63,75284041
ハイレックスコーポレーション,東証2部,輸送用機器,自動車・輸送機 ,235710,16882,16727,10922,203751,137126,5657,8388,105669,67.3,7.75,5.19,38216759
イオン九州,東証JQS,小売業,小売 ,236410,779,947,408,98659,14264,3155,33871,33477,14.5,2.89,0.4,18807119
極洋,東証1部,水産・農林業,食品 ,236561,3723,3709,2422,97391,24976,5664,50919,36500,25.6,10.19,2.52,10928283
岡村製作所,東証1部,その他製品,情報通信・サービスその他 ,236776,11815,12761,8295,218741,113690,18670,23489,138466,52,7.48,3.8,112391530
丸井グループ,東証1部,小売業,小売 ,237022,31253,31139,18724,806575,273884,35920,434327,380165,34,6.74,2.44,233660417
エービーシー・マート,東証1部,小売業,小売 ,238952,41860,42860,28365,253916,219474,19972,1574,481164,86.4,13.42,11.52,82532416
神戸物産,東証1部,卸売業,商社・卸売 ,239266,11833,8729,4560,133199,16560,64,79697,175446,12.4,29.15,3.41,34200000
日本電気硝子,東証1部,ガラス・土石製品,建設・資材 ,239411,19571,13967,4968,693917,504288,32155,99997,422974,72.7,0.98,0.7,99523246
リョービ,東証1部,非鉄金属,鉄鋼・非鉄 ,240502,11875,12013,8348,262869,108210,18472,74160,98265,41.2,7.88,3.16,163230715
日本精機,東証2部,輸送用機器,自動車・輸送機 ,240520,17296,17764,9412,290934,158274,14494,61859,146848,54.4,6.02,3.23,60907599
因幡電機産業,東証1部,卸売業,商社・卸売 ,241417,12381,12516,8169,179401,109775,13352,487,123463,61.2,7.66,4.61,27869700
トランスコスモス,東証1部,サービス業,情報通信・サービスその他 ,242314,8080,6742,7156,143802,81696,29065,15658,122571,56.8,8.8,5.03,48794046
東急建設,東証1部,建設業,建設・資材 ,243618,17211,18839,13691,204813,66152,16354,4803,94270,32.3,22.79,6.53,106761205
ナブテスコ,東証1部,機械,機械 ,244618,23471,24731,17584,258946,150122,10000,16994,538075,58,12.04,7.14,125133799
小野薬品工業,東証1部,医薬品,医薬品 ,244797,72284,74540,55793,617461,519110,17358,965,1431847,84.1,11.27,9.64,589237500
